2048 1 64 64 50 50	1104.48 0.0207276 0.000997573 2581
2048 1 64.7837 63.2163 50 50	1108.29 0.0162175 0.000992561 1180
2048 1 65.5673 62.4327 50 50	1113.18 0.0121468 0.000992004 581
2048 1 66.351 61.649 50 50	1108.96 0.0090549 0.000901949 1450
2048 1 67.1347 60.8653 50 50	1112.33 0.0112253 0.000999202 545
2048 1 67.9184 60.0816 50 50	1113.36 0.0103238 0.000992759 418
2048 1 68.702 59.298 50 50	1113.57 0.0098008 0.000993862 1140
2048 1 69.4857 58.5143 50 50	1119.08 0.0139292 0.000994704 441
2048 1 70.2694 57.7306 50 50	1139.32 0.594403 0.000996983 242
2048 1 71.0531 56.9469 50 50	1152.5 0.624104 0.000964834 160
2048 1 71.8367 56.1633 50 50	1175.03 0.688059 0.000945827 88
2048 1 72.6204 55.3796 50 50	1197.07 0.727211 0.000941318 89
2048 1 73.4041 54.5959 50 50	1289.39 0.805024 0.000831243 44
2048 1 74.1878 53.8122 50 50	1324.77 0.83489 0.000925443 42
2048 1 74.9714 53.0286 50 50	1406.02 0.864876 0.000889101 30
2048 1 75.7551 52.2449 50 50	1420.75 0.885541 0.000931117 25
2048 1 76.5388 51.4612 50 50	1471.5 0.896175 0.000859826 21
2048 1 77.3224 50.6776 50 50	1573.51 0.908037 0.000715564 22
2048 1 78.1061 49.8939 50 50	1602.1 0.920473 0.000685806 19
2048 1 78.8898 49.1102 50 50	1696.38 0.92562 0.000947091 15
2048 1 79.6735 48.3265 50 50	1772.23 0.935372 0.00063727 14
2048 1 80.4571 47.5429 50 50	1805.46 0.934934 0.000897475 14
2048 1 81.2408 46.7592 50 50	1909.27 0.947922 0.000888228 13
2048 1 82.0245 45.9755 50 50	1951.4 0.952635 0.000704367 13
2048 1 82.8082 45.1918 50 50	2042.35 0.955947 0.000441415 13
2048 1 83.5918 44.4082 50 50	2100.07 0.962227 0.000542277 17
2048 1 84.3755 43.6245 50 50	2168.5 0.960443 0.000708593 11
2048 1 85.1592 42.8408 50 50	2283.9 0.966192 0.000505749 11
2048 1 85.9429 42.0571 50 50	2329.82 0.968885 0.000529311 11
2048 1 86.7265 41.2735 50 50	2410.77 0.96983 0.000877954 10
2048 1 87.5102 40.4898 50 50	2520.78 0.972122 0.00087173 12
2048 1 88.2939 39.7061 50 50	2568.41 0.973155 0.000928931 10
2048 1 89.0776 38.9224 50 50	2612.8 0.975697 0.00092794 9
2048 1 89.8612 38.1388 50 50	2689.75 0.977866 0.000747178 9
2048 1 90.6449 37.3551 50 50	2803.02 0.979168 0.000521978 9
2048 1 91.4286 36.5714 50 50	2824.68 0.979377 0.000589341 8
2048 1 92.2122 35.7878 50 50	2934.85 0.980769 0.000603353 11
2048 1 92.9959 35.0041 50 50	3006.26 0.982907 0.000640322 12
2048 1 93.7796 34.2204 50 50	3071.47 0.982279 0.000445788 8
2048 1 94.5633 33.4367 50 50	3144.39 0.983197 0.000432603 8
2048 1 95.3469 32.6531 50 50	3213.68 0.984366 0.000917791 8
2048 1 96.1306 31.8694 50 50	3348.29 0.98516 0.000794733 8
2048 1 96.9143 31.0857 50 50	3375.1 0.986395 0.000467666 7
2048 1 97.698 30.302 50 50	3463.64 0.986494 0.000511689 8
2048 1 98.4816 29.5184 50 50	3542.39 0.986839 0.000316054 8
2048 1 99.2653 28.7347 50 50	3602.76 0.988139 0.000557121 7
2048 1 100.049 27.951 50 50	3696.18 0.988606 0.000340975 7
2048 1 100.833 27.1673 50 50	3746.34 0.98821 0.000441341 7
2048 1 101.616 26.3837 50 50	3834.21 0.989472 0.000310639 7
2048 1 102.4 25.6 50 50	3906.69 0.990226 0.000258423 8
2048 1 64 64 50 50	1111.75 0.00286066 0.000994124 1069
2048 1 64.7837 63.2163 50 50	1112.75 0.0153275 0.000981794 375
2048 1 65.5673 62.4327 50 50	1114.45 0.00181198 0.000984712 645
2048 1 66.351 61.649 50 50	1111.84 0.00241199 0.000983234 818
2048 1 67.1347 60.8653 50 50	1114.42 0.00758306 0.000986759 239
2048 1 67.9184 60.0816 50 50	1105.4 0.0101872 0.000994157 647
2048 1 68.702 59.298 50 50	1107.72 0.0187037 0.000997063 1332
2048 1 69.4857 58.5143 50 50	1107.17 0.0135065 0.000997587 1105
2048 1 70.2694 57.7306 50 50	1111.18 0.403019 0.000998438 1890
2048 1 71.0531 56.9469 50 50	1135.13 0.548127 0.000994164 187
2048 1 71.8367 56.1633 50 50	1150.89 0.701145 0.00099226 121
2048 1 72.6204 55.3796 50 50	1223.48 0.781508 0.000893299 74
2048 1 73.4041 54.5959 50 50	1283.19 0.819099 0.000794676 39
2048 1 74.1878 53.8122 50 50	1328.22 0.833378 0.000957452 32
2048 1 74.9714 53.0286 50 50	1399.42 0.85913 0.000852637 29
